tr,ru
bir,Один
ve,И
olmak,быть
bu,Этот 
için,для  
o,он
ben,я
demek,означает
çok,Много
yapmak,делать
ne,Что
gibi,нравиться
daha,более
almak,брать  
var,есть
kendi,собственный
gelmek,приходить
ile,с
vermek,давать
ama,Но
sonra,позже
kadar,много
yer,место
en,-большинство
insan,человек 
değil,нет
her,каждый
istemek,хотеть
yıl,год
çıkmak,Покинуть
görmek,чтобы увидеть
gün,день
biz,Мы
gitmek,идти
iş,работа
şey,вещь
ara,Поиск
ki,что
bilmek,знать
el,рука
zaman,время
ya,или
çocuk,ребенок
iki,два
bakmak,смотреть 
çalışmak,работать
içinde,внутри
büyük,большой
yok,нет
başlamak,начать
yol,путь
kalmak,оставаться
neden,Откуда
siz,ты
konu,Предмет
yapılmak,быть сделано
iyi,Хороший
kadın,Женщина
ev,дом
ise,тогда как
diye,говоря
bulunmak,иметь
söylemek,сказать
göz,ресница
gerekmek,нуждаться
dünya,Мир
baş,голова
durum,ситуация
yan,сторона
geçmek,пройти мимо
sen,ты
onlar,их
yeni,новый
önce,до
başka,Другой
hal,положение дел
orta,середина
su,Этот
girmek,войти
ülke,страна
yemek,еда
hiç,никто
bile,даже    
nasıl,Как
bütün,все
karşı,противоположный
bulmak,найти
böyle,так
yaşamak,жить
düşünmek,думать
aynı,такой же
iç,напиток
ancak,однако
kişi,человек
bunlar,эти
veya,или 
ilk,первый
göre,в соответствии с
ön,передний
son,конец
biri,кто-то
şekil,форма
önemli,важный
yüz,лицо
hem,оба
göstermek,показывать
etmek,делать
alt,ниже
getirmek,принести
kullanmak,использовать
çünkü,Потому что
taraf,сторона
şimdi,Сейчас
adam,мужчина
onun,ее
diğer,другой
artık,Сейчас
üzerinde,на
ses,звук
hep,всегда
DOĞRU,истинный
durmak,останавливаться
kız,девочка
tüm,все
çekmek,тянуть
konuşmak,говорить
para,деньги
anlamak,понимать
anne,мама
az,маленький
bazı,некоторый
baba,отец
hayat,жизнь
sadece,Только
küçük,Маленький
fazla,более
bilgi,информация
an,момент
sormak,спрашивать
bunun,этот
öyle,как это
yine,снова
sağlamak,для обеспечения
sonuç,заключение
kullanılmak,быть использованным
dış,внешний
ad,имя
yani,хорошо
süre,продолжительность
dönmek,возвращаться
açmak,открыть
oturmak,сидеть
anlatmak,объяснить
bırakmak,Покинуть
hemen,немедленно
saat,час
yaş,возраст
sorun,проблема
devlet,состояние
sahip,владелец
sıra,заказ 
yazmak,написать
yüzde,процент
ay,луна
atmak,бросать
tutmak,держать
bunu,этот
olay,событие
düşmek,падать
duymak,слушать
söz,обещать
güzel,Красивый
sevmek,любить
biraz,Немного
zor,трудный
çıkarmak,вычесть
şu,Этот
koymak,класть
tek,только
sistem,система
birlikte,вместе
verilmek,быть отданным
kim,ВОЗ
alınmak,быть взятым
genç,молодость
kapı,дверь
kitap,книга
üzerine,над
burada,Здесь
gece,ночь
alan,область
birbiri,друг друга
işte,на работе
beklemek,ждать
uzun,ДЛИННЫЙ
hiçbir,нет
bugün,Сегодня
dönem,период
arkadaş,друг
ürün,продукт
aile,семья
üç,летать
okumak,читать
erkek,Мужской
herkes,каждый
güç,сила
belki,может быть
gerçek,настоящий
tam,полный
ilgili,относящийся к
ilişki,отношение
çevre,среда
eski,старый
aramak,звонить
yaşam,жизнь
halk,люди
yakın,закрывать
sokak,улица
bey,джентльмен
tarih,история
özellik,особенность
bölüm,раздел
özel,особенный
akıl,разум
kimse,никто
pek,много
eğer,если
gerek,необходимый
özellikle,особенно
anlam,значение
yüksek,высокий
banka,банк
kez,раз
ayak,ступня
taşımak,нести
geri,назад
toplum,общество
araç,транспортное средство
madde,статья
tür,тип
karar,решение
görülmek,чтобы увидеть
hava,погода
sayı,число
farklı,другой
grup,группа
oda,комната
biçim,формат
oluşmak,состоять из
haber,Новости
Allah,Аллах
ayrıca,Более того
gelen,входящий
birkaç,немного 
soru,вопрос
arka,назад
kazanmak,побеждать
yazı,письмо
okul,школа
açık,открыть 
öğrenmek,учить
sürmek,распространять
dil,язык
şirket,компания 
kaynak,источник
bitmek,в конец
program,программа
devam etmek,продолжать
hareket,движение
renk,цвет
açılmak,открыть
hak,верно
inanmak,верить
çalışma,изучать
açı,угол
parça,кусок
gazete,газета
oluşturmak,создавать
tabi,при условии
değer,ценить
tanımak,узнавать
yapı,состав
doktor,врач
gelir,доход
görev,долг
amaç,цель
bölge,область
film,фильм
üzere,о
müşteri,клиент
zaten,уже
telefon,телефон
